ID	activities_GSM1705375	activities_GSM1705377	deltas_GSM1705375	deltas_GSM1705377	zscores_GSM1705375	zscores_GSM1705377	combined.Zscore	regions_present_fraction	region	motif	standard_zscores_GSM1705375	pval_GSM1705375	corr_pval_GSM1705375	standard_zscores_GSM1705377	pval_GSM1705377	corr_pval_GSM1705377	combined.standard.Zscore	max.abs.standard.Zscore	significance-marker
u50to0.d0to0|RBM6_M161_0.6	-29.660430100000006	29.660430100000006	10.7939218	10.7939218	-2.74788261	2.74788261	2.74788261	0.54197662	u50to0.d0to0	RBM6_M161_0.6	-1.19666230151876	0.115719103216638	1.0	1.19666230151876	0.115719103216638	1.0	1.19666230151876	1.19666230151876	False
u50to0.d0to0|SF1_1203	-14.2862386	14.2862386	5.225357099999999	5.225357099999999	-2.73402148	2.73402148	2.73402148	0.25185972	u50to0.d0to0	SF1_1203	-1.19021707389986	0.116980542061733	1.0	1.19021707389986	0.116980542061733	1.0	1.19021707389986	1.19021707389986	False
u50to0.d0to0|RBMX_847	13.4219824	-13.4219824	5.6385027	5.6385027	2.38041608	-2.38041608	2.38041608	0.8575983	u50to0.d0to0	RBMX_847	1.18792339638472	0.117431795557173	1.0	-1.18792339638472	0.117431795557173	1.0	1.18792339638472	1.18792339638472	False
u25to0.d0to25|RBFOX1_335	471.08110710000005	-471.08110710000005	173.488545	173.488545	2.71534416	-2.71534416	2.71534416	0.29436769	u25to0.d0to25	RBFOX1_335	1.18101262787753	0.118798853414365	1.0	-1.18101262787753	0.118798853414365	1.0	1.18101262787753	1.18101262787753	False
u50to0.d0to0|RBFOX1_335	-10.9617477	10.9617477	4.0819914	4.0819914	-2.68539217	2.68539217	2.68539217	0.31562168	u50to0.d0to0	RBFOX1_335	-1.16760513880508	0.121483038204603	1.0	1.16760513880508	0.121483038204603	1.0	1.16760513880508	1.16760513880508	False
u25to0.d0to25|PCBP2_334	9.2967686	-9.2967686	3.47039	3.47039	2.67888312	-2.67888312	2.67888312	0.7098831	u25to0.d0to25	PCBP2_334	1.16199213894719	0.122619329047491	1.0	-1.16199213894719	0.122619329047491	1.0	1.16199213894719	1.16199213894719	False
u0to0.d0to50|PTBP1_489	10.6684768	-10.6684768	4.445682	4.445682	2.3997389	-2.3997389	2.3997389	0.75451647	u0to0.d0to50	PTBP1_489	1.15394414395429	0.124261534735048	1.0	-1.15394414395429	0.124261534735048	1.0	1.15394414395429	1.15394414395429	False
u0to0.d0to50|RBM3_M048_0.6	-14.7822362	14.7822362	23.15879	23.15879	-0.63829918	0.63829918	0.63829918	0.78320935	u0to0.d0to50	RBM3_M048_0.6	-1.14811155094078	0.125461258154832	1.0	1.14811155094078	0.125461258154832	1.0	1.14811155094078	1.14811155094078	False
u50to0.d0to0|PTBP1_1340	28.7710065	-28.7710065	12.6551579	12.6551579	2.27346088	-2.27346088	2.27346088	0.31030818	u50to0.d0to0	PTBP1_1340	1.13819075488828	0.12752041913987	1.0	-1.13819075488828	0.12752041913987	1.0	1.13819075488828	1.13819075488828	False
u25to0.d0to25|SFPQ_s26	-6.929253	6.929253	4.049693	4.049693	-1.71105641	1.71105641	1.71105641	0.575983	u25to0.d0to25	SFPQ_s26	-1.12809054205201	0.12964084152243	1.0	1.12809054205201	0.12964084152243	1.0	1.12809054205201	1.12809054205201	False
u50to0.d0to0|RBMX_848	24.1154481	-24.1154481	10.7245136	10.7245136	2.24862862	-2.24862862	2.24862862	0.13283741	u50to0.d0to0	RBMX_848	1.12664410840334	0.12994649107742	1.0	-1.12664410840334	0.12994649107742	1.0	1.12664410840334	1.12664410840334	False
u50to0.d0to0|SRSF1_126	923.4869893	-923.4869893	410.6889778	410.6889778	2.24862862	-2.24862862	2.24862862	0.23910733	u50to0.d0to0	SRSF1_126	1.12664410840334	0.12994649107742	1.0	-1.12664410840334	0.12994649107742	1.0	1.12664410840334	1.12664410840334	False
u50to0.d0to0|SF1_1205	434.5654159	-434.5654159	193.257976	193.257976	2.24862862	-2.24862862	2.24862862	0.16046759	u50to0.d0to0	SF1_1205	1.12664410840334	0.12994649107742	1.0	-1.12664410840334	0.12994649107742	1.0	1.12664410840334	1.12664410840334	False
u50to0.d0to0|PCBP2_370	35.2427188	-35.2427188	15.672983300000002	15.672983300000002	2.24862862	-2.24862862	2.24862862	0.15302869	u50to0.d0to0	PCBP2_370	1.12664410840334	0.12994649107742	1.0	-1.12664410840334	0.12994649107742	1.0	1.12664410840334	1.12664410840334	False
u50to0.d0to0|SRSF1_167	509.63632710000013	-509.63632710000013	226.6431738	226.6431738	2.24862862	-2.24862862	2.24862862	0.20403826	u50to0.d0to0	SRSF1_167	1.12664410840334	0.12994649107742	1.0	-1.12664410840334	0.12994649107742	1.0	1.12664410840334	1.12664410840334	False
u50to0.d0to0|SRSF1_1216	5.8176717	-5.8176717	2.5872088	2.5872088	2.24862862	-2.24862862	2.24862862	0.26036132	u50to0.d0to0	SRSF1_1216	1.12664410840334	0.12994649107742	1.0	-1.12664410840334	0.12994649107742	1.0	1.12664410840334	1.12664410840334	False
