GSM1705375	GSM1705377
ENST00000540844	221.924636	0.0
ENST00000496121	719.951195	823.718575
ENST00000470450	4123.354573	5082.056131
ENST00000286788	21626.924775	19403.224625
ENST00000626972	0.0	1e-06
ENST00000457162	155.02419	69.236097
ENST00000480359	0.0	0.0
ENST00000475205	235.063709	228.49066800000003
ENST00000431234	0.0	0.0
ENST00000484403	286.93455	103.982101
ENST00000481059	100.450841	199.801161
ENST00000494296	173.517342	0.0
ENST00000496779	0.0	0.0
ENST00000419845	0.0	0.0
ENST00000492930	0.0	0.0
ENST00000341618	0.0	0.0
ENST00000399935	0.0	0.0
ENST00000399934	0.0	0.0
ENST00000399947	0.0	0.0
ENST00000286791	0.0	0.0
ENST00000339024	0.0	0.0
ENST00000545939	0.0	0.0
ENST00000460883	0.0	0.0
ENST00000412942	0.0	0.0
ENST00000399928	0.0	0.0
ENST00000399926	0.0	0.0
ENST00000399925	0.0	0.0
ENST00000451489	0.0	0.0
ENST00000365114	0.0	0.0
ENST00000470800	0.0	0.0
ENST00000391177	0.0	0.0
ENST00000430001	0.0	0.0
ENST00000447125	0.0	0.0
ENST00000420364	0.0	0.0
ENST00000431661	0.0	0.0
ENST00000548219	0.0	0.0
ENST00000550131	0.0	0.0
ENST00000547141	0.0	0.0
ENST00000546469	0.0	0.0
ENST00000450472	0.0	0.0
ENST00000286800	451.929251	682.124192
ENST00000399921	173.541025	0.0
ENST00000548467	0.0	0.0
ENST00000451655	0.0	0.0
ENST00000447177	0.0	0.0
ENST00000435072	0.0	0.0
ENST00000422809	0.0	0.0
ENST00000468059	136.194944	0.0
ENST00000504298	0.0	0.0
ENST00000609910	0.0	0.0
ENST00000449923	0.0	0.0
ENST00000615718	0.0	0.0
ENST00000626681	0.0	140.930746
ENST00000608072	0.0	0.0
ENST00000436529	76.046316	0.0
ENST00000429843	0.0	0.0
ENST00000327783	0.0	0.0
ENST00000389125	0.0	0.0
ENST00000399913	0.0	0.0
ENST00000399914	0.0	0.0
ENST00000389124	0.0	0.0
ENST00000399907	0.0	0.0
ENST00000399909	0.0	0.0
ENST00000462262	0.0	0.0
ENST00000472429	0.0	0.0
ENST00000608759	0.0	0.0
ENST00000455392	0.0	0.0
ENST00000309331	0.0	0.0
ENST00000423221	0.0	0.0
ENST00000412579	0.0	0.0
ENST00000413131	0.0	0.0
ENST00000565564	0.0	0.0
ENST00000286808	0.0	0.0
ENST00000451410	0.0	0.0
ENST00000399899	0.0	0.0
ENST00000430538	2335.452877	1954.540079
ENST00000340345	0.0	0.0
ENST00000416044	0.0	0.0
ENST00000360542	0.0	0.0
ENST00000382835	0.0	0.0
