ID	activities_GSM1705375	activities_GSM1705377	deltas_GSM1705375	deltas_GSM1705377	zscores_GSM1705375	zscores_GSM1705377	combined.Zscore	regions_present_fraction	region	motif	standard_zscores_GSM1705375	pval_GSM1705375	corr_pval_GSM1705375	standard_zscores_GSM1705377	pval_GSM1705377	corr_pval_GSM1705377	combined.standard.Zscore	max.abs.standard.Zscore	significance-marker
u25to0.d0to25|SRSF1_167	-0.23880578	0.23880578	0.04636669	0.04191913	-5.1503734	5.6968207	5.4304748	0.3743316	u25to0.d0to25	SRSF1_167	-0.301771568372117	0.381413103086387	1.0	0.43785295741969504	0.33074643945145	1.0	0.376019475425769	0.43785295741969504	False
u50to0.d0to0|PTBP1_s12	-0.24677037	0.24677037	0.02802547	0.02925324	-8.80521873	8.4356586	8.62241885	0.4652406	u50to0.d0to0	PTBP1_s12	-0.409799045006062	0.340976683415062	1.0	0.330338167519208	0.37057222827268	1.0	0.3721952190771861	0.409799045006062	False
u50to0.d0to0|RBMX_844	0.163188881	-0.163188881	0.022397900000000002	0.02373164	7.28590174	-6.8764264000000015	7.08412324	0.1818182	u50to0.d0to0	RBMX_844	0.33778174298871005	0.3677638345352279	1.0	-0.378823257121545	0.352409557823576	1.0	0.3588896529803189	0.378823257121545	False
u50to0.d0to0|RBMX_845	0.648379275	-0.648379275	0.08930593	0.09720342	7.26020365	-6.670333599999998	6.97151017	0.2032086	u50to0.d0to0	RBMX_845	0.336587829960218	0.368213815857068	1.0	-0.36927830856253496	0.3559601460083611	1.0	0.353311361586445	0.36927830856253496	False
u0to0.d0to50|PTBP1_M227_0.6	-0.01503986	0.01503986	0.02497829	0.02692446	-0.6021174	0.5585949	0.5807640000000001	0.6363635999999999	u0to0.d0to50	PTBP1_M227_0.6	-0.328819039415482	0.371146235614258	1.0	0.372755064503781	0.354665374808564	1.0	0.35147425140068106	0.372755064503781	False
u0to0.d0to50|PUM1_569	0.72037351	-0.72037351	0.04751363	0.13833292	15.1614067	-5.207535	11.33549	0.315508	u0to0.d0to50	PUM1_569	0.491474128428604	0.311545573056232	1.0	-0.0318516890205881	0.487295162823745	1.0	0.348253750165106	0.491474128428604	False
u25to0.d0to25|PTBP1_s12	0.17663067	-0.17663067	0.02775851	0.02928372	6.3631166	-6.0317012000000005	6.1996239	0.3903743	u25to0.d0to25	PTBP1_s12	0.307855216441471	0.379096251953801	1.0	-0.37821220734495	0.35263647884641497	1.0	0.344832791418511	0.37821220734495	False
u50to0.d0to0|RBMX_849	-0.7725978659999999	0.7725978659999999	0.09261866	0.10215505	-8.34170865	7.5629927	7.96187674	0.2245989	u50to0.d0to0	RBMX_849	-0.3882647316252171	0.348910067043407	1.0	0.289921660369502	0.3859380851916121	1.0	0.342639804295568	0.3882647316252171	False
u50to0.d0to0|RBMX_1361	-0.256975921	0.256975921	0.03155768	0.03326122	-8.14305557	7.725991199999998	7.937263199999999	0.8128342	u50to0.d0to0	RBMX_1361	-0.379035465934188	0.352330763694508	1.0	0.29747074649815897	0.383053569310114	1.0	0.34070275127896993	0.379035465934188	False
u50to0.d0to0|SNRPA_M319_0.6	-0.7122380840000001	0.7122380840000001	0.07766662	0.13455015	-9.17045296	5.2934766	7.48725924	0.2994652	u50to0.d0to0	SNRPA_M319_0.6	-0.426767539771552	0.33477432575198	1.0	0.184811659300339	0.4266883812971261	1.0	0.328850940713272	0.426767539771552	False
